source_id	url	type	keywords	content_length	status
001	https://redis.io/blog/large-language-model-operations-guide/	web	kw_001	5800	ok
002	https://www.truefoundry.com/blog/llmops-vs-mlops	web	kw_001,kw_002	6200	ok
003	https://lakefs.io/mlops/mlops-pipeline/	web	kw_002,kw_009	7500	ok
004	https://madewithml.com/courses/mlops/cicd/	web	kw_009	4800	ok
005	https://mlflow.org/docs/latest/ml/model-registry/	web	kw_010,kw_031	4200	ok
006	https://dagshub.com/blog/best-8-experiment-tracking-tools-for-machine-learning-2023/	web	kw_015	7200	ok
007	https://apxml.com/courses/monitoring-managing-ml-models-production/chapter-6-ml-governance-compliance/advanced-model-versioning	web	kw_024,kw_010	6500	ok
008	https://betterprogramming.pub/a-comprehensive-guide-to-mlops-infrastructure-as-code-iac-ef4c97742351	web	kw_047	5500	ok
009	https://learn.microsoft.com/en-us/azure/architecture/ai-ml/guide/mlops-maturity-model	web	kw_049	5200	ok
010	https://www.zenml.io/blog/mlops-vs-llmops	web	kw_001,kw_002	7800	ok
020	https://www.instaclustr.com/education/apache-kafka/apache-kafka-architecture-a-complete-guide-2026/	web	kw_003,kw_048,kw_026	12850	ok
021	https://ai.gopubby.com/how-event-driven-architecture-transforms-ai-ml-31ae0d472435	web	kw_008,kw_003,kw_014	8200	ok
022	https://www.confluent.io/blog/apache-flink-apache-kafka-streams-comparison-guideline-users/	web	kw_023,kw_013,kw_014	9500	ok
023	https://debezium.io/documentation/reference/stable/architecture.html	web	kw_018,kw_003	2100	ok
024	https://www.confluent.io/blog/guide-to-stream-processing-and-ksqldb-fundamentals/	web	kw_021,kw_013,kw_014	6800	ok
025	https://www.kai-waehner.de/blog/2024/10/01/real-time-model-inference-with-apache-kafka-and-flink-for-predictive-ai-and-genai/	web	kw_023,kw_003,kw_014	14500	ok
026	https://www.confluent.io/blog/exactly-once-semantics-are-possible-heres-how-apache-kafka-does-it/	web	kw_045,kw_003	15200	ok
027	https://newrelic.com/blog/observability/effective-strategies-kafka-topic-partitioning	web	kw_048,kw_003	8600	ok
028	https://oneuptime.com/blog/post/2026-01-24-handle-backpressure-kafka-consumers/view	web	kw_050,kw_026	3800	ok
029	https://www.confluent.io/blog/guide-to-consumer-offsets/	web	kw_026,kw_045	11500	ok
030	https://www.automq.com/blog/avro-vs-json-schema-vs-protobuf-kafka-data-formats	web	kw_029,kw_003	7200	ok
031	https://docs.confluent.io/platform/current/get-started/platform.html	web	kw_034,kw_003	8900	ok
032	https://docs.confluent.io/platform/current/streams/overview.html	web	kw_013,kw_003	2400	ok
060	https://www.kai-waehner.de/blog/2025/09/15/online-feature-store-for-ai-and-machine-learning-with-apache-kafka-and-flink/	web	kw_005,kw_007	8500	ok
061	https://mlops.community/feature-stores-for-real-time-ai-ml-benchmarks-architectures-and-case-studies/	web	kw_005	9200	ok
062	https://estuary.dev/blog/data-pipeline-architecture/	web	kw_007	8800	ok
063	https://www.astronomer.io/docs/learn/airflow-mlops	web	kw_037,kw_007	12500	ok
